Gamma     = 0.99 , alpha    = 0.1 , episodes            = 50000
n actions = 3    , n states = 1089 , n state action pair = 3267

row	 	 x	 	 y	 	theta	 	actions	 	best action	 	Q Table
115	 	-5	 	-1	 	-1.571	 	1	 	2	 	 	-3.372
116	 	-5	 	-1	 	-1.571	 	2	 	2	 	 	31.89
117	 	-5	 	-1	 	-0.7854	 	0	 	0	 	 	36.85
118	 	-5	 	-1	 	-0.7854	 	1	 	0	 	 	-2.635
119	 	-5	 	-1	 	-0.7854	 	2	 	0	 	 	-2.668
120	 	-5	 	-1	 	0	 	0	 	1	 	 	-2.551
121	 	-5	 	-1	 	0	 	1	 	1	 	 	21.91
122	 	-5	 	-1	 	0	 	2	 	1	 	 	-2.578
123	 	-5	 	-1	 	0.7854	 	0	 	0	 	 	30.62
124	 	-5	 	-1	 	0.7854	 	1	 	0	 	 	-2.733
125	 	-5	 	-1	 	0.7854	 	2	 	0	 	 	-2.762
126	 	-5	 	-1	 	1.571	 	0	 	1	 	 	-3.44
127	 	-5	 	-1	 	1.571	 	1	 	1	 	 	25.33
128	 	-5	 	-1	 	1.571	 	2	 	1	 	 	-3.451
129	 	-5	 	-1	 	2.356	 	0	 	1	 	 	-6.078
130	 	-5	 	-1	 	2.356	 	1	 	1	 	 	18.89
131	 	-5	 	-1	 	2.356	 	2	 	1	 	 	-4.279
132	 	-5	 	-1	 	3.142	 	0	 	1	 	 	-5.436
133	 	-5	 	-1	 	3.142	 	1	 	1	 	 	9.359
134	 	-5	 	-1	 	3.142	 	2	 	1	 	 	-5.588
135	 	-5	 	0	 	-3.142	 	0	 	2	 	 	-6.605
136	 	-5	 	0	 	-3.142	 	1	 	2	 	 	-5.485
137	 	-5	 	0	 	-3.142	 	2	 	2	 	 	12.5
138	 	-5	 	0	 	-2.356	 	0	 	2	 	 	-6.862
139	 	-5	 	0	 	-2.356	 	1	 	2	 	 	-4.191
140	 	-5	 	0	 	-2.356	 	2	 	2	 	 	21.76
141	 	-5	 	0	 	-1.571	 	0	 	2	 	 	-3.413
142	 	-5	 	0	 	-1.571	 	1	 	2	 	 	-3.491
143	 	-5	 	0	 	-1.571	 	2	 	2	 	 	28.84
144	 	-5	 	0	 	-0.7854	 	0	 	0	 	 	34.37
145	 	-5	 	0	 	-0.7854	 	1	 	0	 	 	-2.842
146	 	-5	 	0	 	-0.7854	 	2	 	0	 	 	-2.786
147	 	-5	 	0	 	0	 	0	 	0	 	 	19.32
