Gamma     = 0.99 , alpha    = 0.1 , episodes            = 25000
n actions = 3    , n states = 441 , n state action pair = 1323

row	 	 x	 	 y	 	theta	 	actions	 	best action	 	Q Table
114	 	-1.5	 	0.5	 	-1.571	 	0	 	2	 	 	-2.064
115	 	-1.5	 	0.5	 	-1.571	 	1	 	2	 	 	-2.141
116	 	-1.5	 	0.5	 	-1.571	 	2	 	2	 	 	-1.99
117	 	-1.5	 	0.5	 	-0.7854	 	0	 	0	 	 	-1
118	 	-1.5	 	0.5	 	-0.7854	 	1	 	0	 	 	-1.121
119	 	-1.5	 	0.5	 	-0.7854	 	2	 	0	 	 	-1.049
120	 	-1.5	 	0.5	 	0	 	0	 	0	 	 	43.77
121	 	-1.5	 	0.5	 	0	 	1	 	0	 	 	-1.062
122	 	-1.5	 	0.5	 	0	 	2	 	0	 	 	-1.025
123	 	-1.5	 	0.5	 	0.7854	 	0	 	0	 	 	-1
124	 	-1.5	 	0.5	 	0.7854	 	1	 	0	 	 	-1.042
125	 	-1.5	 	0.5	 	0.7854	 	2	 	0	 	 	-1.019
126	 	-1.5	 	0.5	 	1.571	 	0	 	0	 	 	43.84
127	 	-1.5	 	0.5	 	1.571	 	1	 	0	 	 	-1.9
128	 	-1.5	 	0.5	 	1.571	 	2	 	0	 	 	-1.94
129	 	-1.5	 	0.5	 	2.356	 	0	 	1	 	 	-2.935
130	 	-1.5	 	0.5	 	2.356	 	1	 	1	 	 	37.29
131	 	-1.5	 	0.5	 	2.356	 	2	 	1	 	 	-2.673
132	 	-1.5	 	0.5	 	3.142	 	0	 	1	 	 	-4.759
133	 	-1.5	 	0.5	 	3.142	 	1	 	1	 	 	26.12
134	 	-1.5	 	0.5	 	3.142	 	2	 	1	 	 	-3.994
135	 	-1.5	 	1	 	-3.142	 	0	 	2	 	 	-3.994
136	 	-1.5	 	1	 	-3.142	 	1	 	2	 	 	-3.994
137	 	-1.5	 	1	 	-3.142	 	2	 	2	 	 	25.38
138	 	-1.5	 	1	 	-2.356	 	0	 	2	 	 	-2.997
139	 	-1.5	 	1	 	-2.356	 	1	 	2	 	 	-2.762
