Gamma     = 0.99 , alpha    = 0.1 , episodes            = 30000
n actions = 3    , n states = 504 , n state action pair = 1512

row	 	 x	 	 y	 	theta	 	actions	 	best action	 	Q Table
121	 	-6.5	 	2.5	 	0	 	1	 	1	 	 	58.08
122	 	-6.5	 	2.5	 	0	 	2	 	1	 	 	-0.6685
123	 	-6.5	 	2.5	 	0.7854	 	0	 	1	 	 	-1.341
124	 	-6.5	 	2.5	 	0.7854	 	1	 	1	 	 	55.47
125	 	-6.5	 	2.5	 	0.7854	 	2	 	1	 	 	-1.21
126	 	-6.5	 	2.5	 	1.571	 	0	 	1	 	 	-2.014
127	 	-6.5	 	2.5	 	1.571	 	1	 	1	 	 	52.95
128	 	-6.5	 	2.5	 	1.571	 	2	 	1	 	 	-1.91
129	 	-6.5	 	2.5	 	2.356	 	0	 	1	 	 	-2.997
130	 	-6.5	 	2.5	 	2.356	 	1	 	1	 	 	50.47
131	 	-6.5	 	2.5	 	2.356	 	2	 	1	 	 	-2.674
132	 	-6.5	 	2.5	 	3.142	 	0	 	1	 	 	-3.994
133	 	-6.5	 	2.5	 	3.142	 	1	 	1	 	 	44.91
134	 	-6.5	 	2.5	 	3.142	 	2	 	1	 	 	-3.895
135	 	-6.5	 	3	 	-3.142	 	0	 	2	 	 	-1.957
136	 	-6.5	 	3	 	-3.142	 	1	 	2	 	 	-1.999
137	 	-6.5	 	3	 	-3.142	 	2	 	2	 	 	42.91
138	 	-6.5	 	3	 	-2.356	 	0	 	2	 	 	-4.713
139	 	-6.5	 	3	 	-2.356	 	1	 	2	 	 	-1.465
140	 	-6.5	 	3	 	-2.356	 	2	 	2	 	 	55.91
141	 	-6.5	 	3	 	-1.571	 	0	 	0	 	 	61.25
142	 	-6.5	 	3	 	-1.571	 	1	 	0	 	 	-0.9882
143	 	-6.5	 	3	 	-1.571	 	2	 	0	 	 	-0.9672
144	 	-6.5	 	3	 	-0.7854	 	0	 	1	 	 	-0.7656
145	 	-6.5	 	3	 	-0.7854	 	1	 	1	 	 	57.62
146	 	-6.5	 	3	 	-0.7854	 	2	 	1	 	 	-0.7683
147	 	-6.5	 	3	 	0	 	0	 	1	 	 	-1.231
148	 	-6.5	 	3	 	0	 	1	 	1	 	 	54.36
149	 	-6.5	 	3	 	0	 	2	 	1	 	 	-1.255
150	 	-6.5	 	3	 	0.7854	 	0	 	1	 	 	-2.004
151	 	-6.5	 	3	 	0.7854	 	1	 	1	 	 	51.28
